experiment_id,run_id,status,config_hash,corpus_snapshot_hash,git_commit,git_dirty,target_words,min_words,overlap_words,document_count,source_count,chunk_count,word_count,average_chunk_words,chunk_words_minimum,chunk_words_p50,chunk_words_p90,chunk_words_p95,chunk_words_maximum,chunks_below_configured_minimum,chunks_at_or_above_target,load_ms,chunking_ms,total_ms
common-programming-word-300,20260715133504984-e053ac36,prepared,e053ac362edaa31842f1ddaecb108f777c7541b42fbf26604a5eeead2067020d,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,b5d92120b5b4ff97ca16a5790fcd05ebcd47140b,false,300,200,80,24510,99,30455,5288888,173.66,2,126,344,385,5952,17861,9028,7348,2031,10256
common-programming-word-450,20260715133454804-e05f02a6,prepared,e05f02a67251a0e60e4bd9c63c66b32c3c9ada45ae452b9cdbae7aec365ae87a,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,b5d92120b5b4ff97ca16a5790fcd05ebcd47140b,false,450,200,80,24510,99,27496,5002863,181.95,2,97,464,497,5952,17861,4126,6712,1672,9301
common-programming-word-850,20260715133444400-dcbd9035,prepared,dcbd9035540005e82ac04205d2c14b3ae51c6593359137611d3f704f4987b46f,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,b5d92120b5b4ff97ca16a5790fcd05ebcd47140b,false,850,200,80,24510,99,25553,4789743,187.44,2,83,502,829,5952,17861,1232,7215,1374,9479
react-baseline-word-850,20260714084231-4ab94e7b,prepared,4ab94e7b2b245d699347965bb3b015a42c2232bf3d3c96aa620417a4ef6934c3,,63366222893ed65d5a45ac11db13b9e34f5d359b,false,850,500,80,80,80,230,189778,825.12,,,,,,,,5788,78,6095
react-word-450,20260714084457-bc02b97f,prepared,bc02b97fded6931c304fdc5e323bb9b068dc5bf91fe99eaf154d3d64d5eeca78,,bf3b4401231894768df920eb898dfa96322aff09,false,450,200,60,80,80,461,209808,455.11,,,,,,,,5461,90,5777
