experiment_id,attempt_id,parent_run_id,git_commit,git_dirty,chunks,embedding_model,top_k,min_score,cases,recall_at_k,precision_at_k,mrr,ndcg_at_k,no_answer_false_positive_rate,embedding_cache_hits,embedding_api_inputs,embedding_provider_requests,estimated_embedding_api_tokens,estimated_embedding_cost_usd,embedding_ms,total_ms
common-programming-word-300,20260716081454984-gemini-embedding-2,20260716080108101-0146f580,dcf66028bcda528cec6ea2d5db0caf59a554135f,false,30455,gemini-embedding-2,4,0.18,13,1,0.7083333333333334,1,1,1,20392,9626,301,5262853,1.0525706,274452,275164
common-programming-word-300-threshold-065,20260716090325949-gemini-embedding-2,20260716090310429-c886d414,3afb1a9c714c27981f63556d3ad1718caeefc8dd,false,30455,gemini-embedding-2,4,0.65,13,1,0.7083333333333334,1,1,0,30018,0,0,0,0,2121,2719
common-programming-word-450,20260716081108384-gemini-embedding-2,20260716080059029-9798ce09,dcf66028bcda528cec6ea2d5db0caf59a554135f,false,27496,gemini-embedding-2,4,0.18,13,1,0.6875,1,0.9933100657623489,1,22073,4988,156,3821759,0.7643518,202039,202713
common-programming-word-850,20260716080145856-gemini-embedding-2,20260716080049431-ab6a65d1,dcf66028bcda528cec6ea2d5db0caf59a554135f,false,25553,gemini-embedding-2,4,0.18,13,1,0.5208333333333334,1,1,1,0,25119,786,8036225,1.607245,535697,536296
react-baseline-word-850,20260714084418-gemini-embedding-2,20260714084231-4ab94e7b,bf3b4401231894768df920eb898dfa96322aff09,false,230,gemini-embedding-2,4,0.18,5,1,0.4375,1,0.9799301972870469,1,,,,,,22594,22831
react-word-450,20260714084503-gemini-embedding-2,20260714084457-bc02b97f,bf3b4401231894768df920eb898dfa96322aff09,false,461,gemini-embedding-2,4,0.18,5,1,0.75,0.875,0.8876626356799113,1,,,,,,42635,42875
