suite_attempt,protocol_hash,corpus_snapshot_hash,experiment_id,run_id,git_commit,config_hash,target_words,minimum_words,overlap_words,chunks,indexed_words,average_words,minimum,p50,p90,p95,maximum,below_configured_minimum,at_or_above_target,load_ms,chunking_ms,total_ms
20260715133756586,290c3c632dbcf824101f0e184bf18ffec13d7233e3ed2eefaeb6aa412d2fb280,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,common-programming-word-850,20260715133757150-dcbd9035,5671b1592ca6c7b4f9b1cb45cf49632238ca536c,dcbd9035540005e82ac04205d2c14b3ae51c6593359137611d3f704f4987b46f,850,200,80,25553,4789743,187.44,2,83,502,829,5952,17861,1232,6717,1182,8604
20260715133756586,290c3c632dbcf824101f0e184bf18ffec13d7233e3ed2eefaeb6aa412d2fb280,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,common-programming-word-450,20260715133806479-e05f02a6,5671b1592ca6c7b4f9b1cb45cf49632238ca536c,e05f02a67251a0e60e4bd9c63c66b32c3c9ada45ae452b9cdbae7aec365ae87a,450,200,80,27496,5002863,181.95,2,97,464,497,5952,17861,4126,6729,1403,8837
20260715133756586,290c3c632dbcf824101f0e184bf18ffec13d7233e3ed2eefaeb6aa412d2fb280,e44495f83da4d3836eee2903b73821f02921bcd232151209e5a8e44eb7a34815,common-programming-word-300,20260715133815988-e053ac36,5671b1592ca6c7b4f9b1cb45cf49632238ca536c,e053ac362edaa31842f1ddaecb108f777c7541b42fbf26604a5eeead2067020d,300,200,80,30455,5288888,173.66,2,126,344,385,5952,17861,9028,6479,1476,8587
